kappa,last_kappa,kappa_pred_0_with_drift,kappa_pred_0_without_drift,kappa_pred_1_with_drift,kappa_pred_1_without_drift,kappa_pred_2_with_drift,kappa_pred_2_without_drift
0.7777777777777778,,0.0,0.0,0.0,0.0,0.0,0.0
0.6555555555555556,,0.0,0.0,0.0,0.0,0.0,0.0
0.5999999999999999,,0.0,0.0,0.0,0.0,0.0,0.0
0.5333333333333332,,0.0,0.0,0.0,0.0,0.0,0.0
0.4555555555555556,,0.0,0.0,0.0,0.0,0.0,0.0
0.3888888888888888,,0.0,0.0,0.0,0.0,0.0,0.0
0.3333333333333335,,0.0,0.0,0.0,0.0,0.0,0.0
0.3333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0
0.3000000000000001,,0.0,0.0,0.0,0.0,0.0,0.0
0.2222222222222221,,0.0,0.0,0.0,0.0,0.0,0.0
0.1222222222222222,,0.0,0.0,0.0,0.0,0.0,0.0
0.0333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0
0.011111111111111,,0.0,0.0,0.0,0.0,0.0,0.0
0.0,,0.0,0.0,0.0,0.0,0.0,0.0
0.0,,0.0,0.0,0.0,0.0,0.0,0.0
0.0,,0.0,0.0,0.0,0.0,0.0,0.0
0.0,,0.0,0.0,0.0,0.0,0.0,0.0
0.0,,0.0,0.0,0.0,0.0,0.0,0.0
0.0333333333333334,,0.0,0.0,0.0,0.0,0.0,0.0
0.0999999999999999,,0.0,0.0,0.0,0.0,0.0,0.0
0.1999999999999998,,0.0,0.0,0.0,0.0,0.0,0.0
0.2666666666666667,,0.0,0.0,0.0,0.0,0.0,0.0
0.3222222222222223,,0.0,0.0,0.0,0.0,0.0,0.0
0.3444444444444443,,0.0,0.0,0.0,0.0,0.0,0.0
0.3777777777777779,,0.0,0.0,0.0,0.0,0.0,0.0
0.3777777777777775,,0.0,0.0,0.0,0.0,0.0,0.0
0.3333333333333331,,0.0,0.0,0.0,0.0,0.0,0.0
0.3222222222222222,,0.0,0.0,0.0,0.0,0.0,0.0
0.3666666666666667,,0.0,0.0,0.0,0.0,0.0,0.0
0.4444444444444444,,0.0,0.0,0.0,0.0,0.0,0.0
0.4333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0
0.388888888888889,,0.0,0.0,0.0,0.0,0.0,0.0
0.3000000000000002,,0.0,0.0,0.0,0.0,0.0,0.0
0.1666666666666666,,0.0,0.0,0.0,0.0,0.0,0.0
0.1666666666666666,,0.0,0.0,0.0,0.0,0.0,0.0
0.2222222222222222,,0.0,0.0,0.0,0.0,0.0,0.0
0.2666666666666667,,0.0,0.0,0.0,0.0,0.0,0.0
0.2888888888888891,,0.0,0.0,0.0,0.0,0.0,0.0
0.2333333333333331,,0.0,0.0,0.0,0.0,0.0,0.0
0.1444444444444447,,0.0,0.0,0.0,0.0,0.0,0.0
0.1222222222222222,,0.0,0.0,0.0,0.0,0.0,0.0
0.1555555555555553,,0.0,0.0,0.0,0.0,0.0,0.0
0.2555555555555554,,0.0,0.0,0.0,0.0,0.0,0.0
0.3111111111111111,,0.0,0.0,0.0,0.0,0.0,0.0
0.3222222222222221,,0.0,0.0,0.0,0.0,0.0,0.0
0.2666666666666668,,0.0,0.0,0.0,0.0,0.0,0.0
0.2111111111111111,,0.0,0.0,0.0,0.0,0.0,0.0
0.1666666666666668,,0.0,0.0,0.0,0.0,0.0,0.0
0.1444444444444445,,0.0,0.0,0.0,0.0,0.0,0.0
0.1222222222222224,,0.0,0.0,0.0,0.0,0.0,0.0
0.0777777777777779,,0.0,0.0,0.0,0.0,0.0,0.0
0.0333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0
0.0333333333333334,,0.0,0.0,0.0,0.0,0.0,0.0
0.0555555555555553,,0.0,0.0,0.0,0.0,0.0,0.0
0.0777777777777776,,0.0,0.0,0.0,0.0,0.0,0.0
0.0999999999999998,,0.0,0.0,0.0,0.0,0.0,0.0
0.2000000000000001,,0.0,0.0,0.0,0.0,0.0,0.0
0.3111111111111112,,0.0,0.0,0.0,0.0,0.0,0.0
0.4,,0.0,0.0,0.0,0.0,0.0,0.0
0.3666666666666665,,0.0,0.0,0.0,0.0,0.0,0.0
0.3111111111111112,,0.0,0.0,0.0,0.0,0.0,0.0
0.2333333333333335,,0.0,0.0,0.0,0.0,0.0,0.0
0.2000000000000001,,0.0,0.0,0.0,0.0,0.0,0.0
0.177777777777778,,0.0,0.0,0.0,0.0,0.0,0.0
0.1111111111111112,,0.0,0.0,0.0,0.0,0.0,0.0
0.1111111111111109,,0.0,0.0,0.0,0.0,0.0,0.0
0.0999999999999999,,0.0,0.0,0.0,0.0,0.0,0.0
0.1111111111111111,,0.0,0.0,0.0,0.0,0.0,0.0
0.0888888888888889,,0.0,0.0,0.0,0.0,0.0,0.0
0.0777777777777779,,0.0,0.0,0.0,0.0,0.0,0.0
0.0444444444444446,,0.0,0.0,0.0,0.0,0.0,0.0
0.0555555555555555,,0.0,0.0,0.0,0.0,0.0,0.0
0.0555555555555553,,0.0,0.0,0.0,0.0,0.0,0.0
